start,end
2019-01-24 07:54-06:00,2019-01-24 11:25-06:00
2019-01-24 11:52-06:00,2019-01-24 14:03-06:00
2019-01-24 14:29-06:00,2019-01-24 16:11-06:00
2019-01-24 18:54-06:00,2019-01-24 19:37-06:00
2019-01-25 08:14-06:00,2019-01-25 10:05-06:00
2019-01-25 10:37-06:00,2019-01-25 10:57-06:00
2019-01-25 11:35-06:00,2019-01-25 11:50-06:00
2019-01-25 12:31-06:00,2019-01-25 12:42-06:00
2019-01-25 14:08-06:00,2019-01-25 15:05-06:00
2019-01-25 15:15-06:00,2019-01-25 15:48-06:00
2019-01-25 18:05-06:00,2019-01-25 18:25-06:00
