start,end,label
2019-02-03 12:51:30.650000-06:00,2019-02-03 12:56:50.400000-06:00,c
2019-02-03 13:14:24.650000-06:00,2019-02-03 13:16:40.400000-06:00,c
2019-02-03 13:38:13.650000-06:00,2019-02-03 13:44:10.400000-06:00,c
2019-02-03 13:44:18.930000-06:00,2019-02-03 13:45:09.550000-06:00,c
2019-02-03 13:45:27.380000-06:00,2019-02-03 13:47:04.410000-06:00,c
2019-02-03 13:47:10.500000-06:00,2019-02-03 13:50:03.610000-06:00,c
2019-02-03 13:50:34.760000-06:00,2019-02-03 13:53:35.400000-06:00,c
2019-02-03 13:53:39.630000-06:00,2019-02-03 13:54:30.060000-06:00,c
2019-02-03 13:55:41.520000-06:00,2019-02-03 13:55:48.035000-06:00,c
2019-02-03 13:55:59.515000-06:00,2019-02-03 13:56:15.945000-06:00,c
2019-02-03 13:56:36.890000-06:00,2019-02-03 13:56:42.370000-06:00,c
2019-02-03 19:48:53.730000-06:00,2019-02-03 19:51:50.710000-06:00,c
2019-02-03 19:51:58.880000-06:00,2019-02-03 19:54:00.927000-06:00,c
2019-02-03 19:54:15.380000-06:00,2019-02-03 19:57:10.823000-06:00,c
2019-02-03 19:57:13.550000-06:00,2019-02-03 19:57:50.400000-06:00,c
2019-02-03 19:58:16.580000-06:00,2019-02-03 19:58:24.545000-06:00,c
2019-02-03 19:58:46.955000-06:00,2019-02-03 19:59:04.703000-06:00,c
2019-02-03 19:59:14.749000-06:00,2019-02-03 19:59:36.542000-06:00,c
2019-02-03 20:00:28.970000-06:00,2019-02-03 20:01:26.410000-06:00,c
2019-02-03 20:02:52.730000-06:00,2019-02-03 20:04:51.330000-06:00,c
2019-02-03 20:05:52.720000-06:00,2019-02-03 20:06:29.539000-06:00,c
2019-02-03 20:06:51.699000-06:00,2019-02-03 20:07:59.640000-06:00,c
2019-02-03 20:08:11.760000-06:00,2019-02-03 20:09:15.330000-06:00,c
2019-02-03 20:10:23.060000-06:00,2019-02-03 20:11:23.600000-06:00,c
2019-02-05 12:36:55.080000-06:00,2019-02-05 12:37:53.020000-06:00,c
2019-02-05 12:38:10.670000-06:00,2019-02-05 12:42:38.380000-06:00,c
2019-02-05 12:42:52.820000-06:00,2019-02-05 12:46:57.100000-06:00,c
2019-02-05 18:02:13.440000-06:00,2019-02-05 18:05:45.682000-06:00,c
2019-02-05 18:06:22.760000-06:00,2019-02-05 18:10:17.305000-06:00,c
2019-02-05 18:10:27.190000-06:00,2019-02-05 18:12:50.010000-06:00,c
